Admission,Registrar,Guidance Office,Health Services/Clinic,Library Services,Student Publication,Scholarship Services,Student Services Office,Comment,Semester,AcadYear,Block,College
5,5,5,5,5,5,5,5,focus on the main goal that must be met.,2nd Semester,2021-2022,1C,IFMS
4,4,4,4,4,4,4,4,"focus on the mission, vision , goals and objectives of the institution.",2nd Semester,2021-2022,1C,BS-Fisheries
4,4,4,4,4,4,4,4,follow the standards regulations for each school department or office at the same time listening to the students.,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,for me the best naman po intuition na camarines norte state college dahil ok naman po ang serbisyo nyu very thankful ako kasi dito nakapasok para makapag aral nang college thank you po.,2nd Semester,2021-2022,1C,IFMS
4,4,5,4,4,4,4,5,for me. okay naman yong pag facilitate nila. and yong hindi naman. sguro hindi kopa na experience na makapasok sa room nayon. kasi nasa online learning mga students ngayon.,2nd Semester,2021-2022,1C,BS-Fisheries
3,3,3,4,3,4,4,3,for me. okay naman yong pag facilitate nila. and yong hindi naman. sguro hindi kopa na experience na makapasok sa room nayon. kasi nasa online learning mga students ngayon.,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,for me. okay naman yong pag facilitate nila. and yong hindi naman. sguro hindi kopa na experience na makapasok sa room nayon. kasi nasa online learning mga students ngayon.,2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,for me. okay naman yong pag facilitate nila. and yong hindi naman. sguro hindi kopa na experience na makapasok sa room nayon. kasi nasa online learning mga students ngayon.,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,for me. okay naman yong pag facilitate nila. and yong hindi naman. sguro hindi kopa na experience na makapasok sa room nayon. kasi nasa online learning mga students ngayon.,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,"for now, nothing.",2nd Semester,2021-2022,1C,IFMS
4,5,4,4,4,4,4,5,full ftf class,2nd Semester,2021-2022,1C,BS-Fisheries
4,4,4,4,4,4,4,4,gabayan at patnubayan natin ang isa't isa,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,"gampanan ang responsibilidad bilang esudyante, igalang ang bawat isa.",2nd Semester,2021-2022,1C,IFMS
4,4,4,4,4,4,4,4,gampanan ng maayos ang kanilang tungkulin at bigyang pansin ang pangangailan ng mag-aaral,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,gampanan ng maayos ang tungkulin.,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,"gampanan ng mabuti ang tungkulin, maging tapat at masinop.",2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,gawin ang abot nang makakaya upang maipagpatuloy ang ma ayos at maganda serbisyo.,2nd Semester,2021-2022,1C,BS-Fisheries
4,4,4,4,5,4,4,5,gawin ang laging tama at nararapat,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,"gawin ang lahat ng responsibilities as a teacher, stundent and to all staff of camarines norte state college.",2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,gawin ang nararapat,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,gawin lagi ang nararapat at tama,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,gawin lang ng bawat isa ang kani kanilang obligasyon sa loob ng paaralan upang mapabuti ito,2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,gawin parin ang nga nararapat at laging maging on time sa mga announcement,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,gawing up to date ang mga anunsyo tungkol sa paaralan.,2nd Semester,2021-2022,1C,CCMS
4,5,4,5,5,4,5,5,gawing up to date ang mga anunsyo tungkol sa paaralan.,2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,gawing up to date ang mga anunsyo tungkol sa paaralan.,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,generally understand the si,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,"give a right consideration to all students especially in this time of pandemic. however, majority of services are well implemented.",2nd Semester,2021-2022,1C,IFMS
5,5,5,4,5,4,5,5,go with the flow,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,god bless,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,god bless,2nd Semester,2021-2022,1C,IFMS
4,4,4,4,4,4,4,4,god bless,2nd Semester,2021-2022,1C,BS-Fisheries
5,5,5,5,5,5,5,5,god bless all the teachers and keep up the good work,2nd Semester,2021-2022,1C,CCMS
5,5,5,5,5,5,5,5,god bless and more power,2nd Semester,2021-2022,1C,IFMS
5,5,5,5,5,5,5,5,god blessed,2nd Semester,2021-2022,1C,BS-Fisheries
4,4,4,4,4,4,4,4,godbless,1st Semester,2022-2023,2A,CCMS
5,4,5,5,5,5,5,4,godbless,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good,1st Semester,2022-2023,2A,BS-Fisheries
5,4,4,5,5,5,5,5,good,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,good,1st Semester,2022-2023,2A,IFMS
4,4,4,4,4,4,5,5,good,1st Semester,2022-2023,2A,BS-Fisheries
4,4,5,4,4,5,5,4,good,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,good,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good,1st Semester,2022-2023,2A,BS-Fisheries
4,4,4,4,4,4,4,4,good,1st Semester,2022-2023,2A,CCMS
5,5,5,5,4,5,5,5,good,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,good bless :),1st Semester,2022-2023,2A,CCMS
4,4,4,4,4,4,4,4,good enternet services,1st Semester,2022-2023,2A,IFMS
5,4,4,4,4,4,4,4,good facilities and have a rules to be followed by the students,1st Semester,2022-2023,2A,BS-Fisheries
5,4,5,4,4,4,4,4,good interaction,1st Semester,2022-2023,2A,CCMS
1,4,4,4,4,4,4,4,good internet service,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good job,1st Semester,2022-2023,2A,BS-Fisheries
5,5,4,4,4,4,4,4,good job,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,good job,1st Semester,2022-2023,2A,IFMS
3,4,3,3,4,4,4,4,good job so far,1st Semester,2022-2023,2A,BS-Fisheries
4,4,2,2,4,4,3,4,good job!,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,good job!,1st Semester,2022-2023,2A,IFMS
4,4,3,5,5,4,4,4,good job!,1st Semester,2022-2023,2A,BS-Fisheries
5,4,5,4,4,4,4,4,good job!,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,4,good job.,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good management,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,good service,1st Semester,2022-2023,2A,CCMS
4,4,4,4,4,4,4,4,good service and student,1st Semester,2022-2023,2A,IFMS
5,5,4,5,5,5,4,4,good service and student,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,good service and student,1st Semester,2022-2023,2A,CCMS
4,5,4,5,5,4,4,5,good service and student,1st Semester,2022-2023,2A,IFMS
5,5,5,5,5,5,5,5,good service at all â¤ï¸,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,good services.,1st Semester,2022-2023,2A,CCMS
5,5,5,5,5,5,5,5,goodjob,1st Semester,2022-2023,2A,IFMS
5,5,4,4,4,5,5,5,goods na lahat,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,5,5,5,5,5,goods na para sakin,1st Semester,2022-2023,2A,CCMS
4,4,4,5,5,5,4,5,goods na para sakin,1st Semester,2022-2023,2A,IFMS
4,4,4,5,5,5,5,5,goods na para sakin,1st Semester,2022-2023,2A,BS-Fisheries
5,5,5,4,4,2,5,4,goods na po para sakin,1st Semester,2022-2023,2A,CCMS
4,4,4,4,4,4,4,4,goods na po para sakin,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,goods na po para sakin,2nd Semester,2022-2023,2B,BS-Fisheries
4,4,4,3,4,4,4,4,goods!,2nd Semester,2022-2023,2B,CCMS
5,5,5,5,5,4,4,5,goods. na po para sakin..,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,goods. na po para sakin..,2nd Semester,2022-2023,2B,BS-Fisheries
3,4,5,5,3,4,4,4,goods. na po para sakin..,2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,great,2nd Semester,2022-2023,2B,IFMS
5,5,4,5,5,5,5,5,great student services overall.,2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,4,5,5,5,guidance,2nd Semester,2022-2023,2B,CCMS
5,5,5,5,5,5,5,5,"gumamit ng iba't-ibang social media platform sa pagpapalaganap ng mga balita, aktibidad, anunsyo at gamitin ang mga ito nang maayos at epektibo.",2nd Semester,2022-2023,2B,IFMS
4,4,5,5,5,5,5,5,gumawa nang mga batas na naaayun dito,2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,5,5,5,5,gumawa pa ng ibang ibang proograma para makatulong sa students,2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,gusto ko lang po sanang sabihin na sana maintindihan ng ibang instructor na minsan meron kaming hindi kayang gawin sa mga pinapagawa nila. at maintindihan nila kung hindi agad agad kami nakakapasa. sana po ay unawain din kami ng mga instructor,2nd Semester,2022-2023,2B,IFMS
5,4,4,4,4,4,4,4,gusto ko lng pong magpasalamat sa mga serbisyo at sa pag asikaso saming mga students godbless po sa inyong lahat,2nd Semester,2022-2023,2B,BS-Fisheries
3,4,4,3,4,4,4,4,habang tumatagal at pa bago ng pabago ang henerasyon ay mas lalong gumaganda ang pamamalakad at pag papalaganap ng cnsc,2nd Semester,2022-2023,2B,CCMS
3,3,3,4,3,4,3,4,halos lahat naman ng ginagawa ng camarines norte state college ay maayos para sa aming mga studyante,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,hardwork,2nd Semester,2022-2023,2B,BS-Fisheries
4,4,4,4,4,4,4,4,hardwork,2nd Semester,2022-2023,2B,CCMS
5,5,5,4,5,4,5,5,hardwork,2nd Semester,2022-2023,2B,IFMS
4,4,4,4,4,4,4,4,hasissisisjwhwowow,2nd Semester,2022-2023,2B,BS-Fisheries
4,3,3,3,3,3,3,3,"hati ang aking saloobing sa nasiyahan at lubos na nasiyahan, sanay ay panatilihin and paunlarin pa ng institusyon ang kanilang serbisyo katulad ng iba't-ibang mga progama para sa mga mag-aaral nito.",2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,have a good day,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,4,5,5,5,have a quick response to the students inquires. y'all doing great ðÿ‘,2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,5,5,5,5,have suggestion boxes for improvement of service and facilities.,2nd Semester,2022-2023,2B,CCMS
5,4,5,5,5,5,5,5,hear the voice of thy students as well as their staffs,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,"hello. para sa'kin maging mas approachable lang po sana ang bawat tumatanggap ng mga estudyante sa bawat offices po. yun lang, maraming salamat.",2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,5,5,5,5,higit na tuunan ng pansin ang mga mas nangangailanan.,2nd Semester,2022-2023,2B,CCMS
4,5,5,5,5,5,5,5,hiling kung magpatuloy ang maayos na pamumuno sa ating paaralan.,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,hindi kuna po kailangan mag bigay ng komento dahil maayos naman po ang serbisyo na binibigay ng camarines norte state college,2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,5,5,5,5,hindi man ito parte ng surbey na ito sapagkat ito pa ay sa pagtatapos ng ikalawang semestre ngunit gusto ko lamang ipahayag ang aking hinaing sa mga instruktor. sana ay magbigay naman sila ng konsiderasyon sa pagbibigay ng mga gawain dahil mayroon din kaming kapwa mag-aaral na nagttrabaho upang maitaguyod ang kanilang mga pangangailangan.,2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,"hindi man perpekto pero okay naman po ang sistema, kaya masubaybayan lalo na po at hindi naman kami pinapabayaan ng mga professors",2nd Semester,2022-2023,2B,IFMS
4,5,5,5,4,4,5,5,"hindi man perpekto pero okay naman po ang sistema, kaya masubaybayan lalo na po at hindi naman kami pinapabayaan ng mga professors",2nd Semester,2022-2023,2B,BS-Fisheries
5,5,5,5,5,5,5,5,"hindi man perpekto pero okay naman po ang sistema, kaya masubaybayan lalo na po at hindi naman kami pinapabayaan ng mga professors",2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,hindi na ako magbibigay ng ano pa mang komento sapagkat ang serbisyo ng camarines norte state college ay napaka ganda at talagang maasahan .,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,hmm.?,2nd Semester,2022-2023,2B,BS-Fisheries
5,4,4,4,4,4,5,4,hope we can start face to face classes,2nd Semester,2022-2023,2B,CCMS
4,5,4,5,5,4,4,4,hoping po na magkaroon ng kahit scheduled face-to-face class soon po upang aktwal naming maranasan 'yung iba sa mga nakalagay sa survey na ito po katulad ng sa canteen.,2nd Semester,2022-2023,2B,IFMS
4,5,3,5,5,4,4,5,hoping po na magkaroon ng kahit scheduled face-to-face class soon po upang aktwal naming maranasan 'yung iba sa mga nakalagay sa survey na ito po katulad ng sa canteen.,2nd Semester,2022-2023,2B,BS-Fisheries
5,4,4,5,5,5,4,5,hoping sa face to face classes po,2nd Semester,2022-2023,2B,CCMS
4,4,4,4,4,4,4,4,hoping sa face to face classes po,2nd Semester,2022-2023,2B,IFMS
5,5,5,5,5,5,5,5,hwag sanang magsasawa ang mga teachers sa kanilang estudyante.,2nd Semester,2022-2023,2B,BS-Fisheries
5,4,4,5,4,4,5,5,i am a satisfied customer.,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i am currently satisfied with the services given by cnsc especially in placing high importance to integrity and standards of education.,1st Semester,2021-2022,3A,IFMS
4,4,4,4,4,4,4,5,i am satisfied at the current state of cnsc,1st Semester,2021-2022,3A,BS-Fisheries
4,4,5,4,5,4,4,5,i am satisfied with the services of the cnsc. but some of the services is not yet encountered since its online class but i know the services is good and satisfying.,1st Semester,2021-2022,3A,CCMS
4,4,5,5,5,4,4,5,i am very satisfied po sa quality of service ng cnsc.,1st Semester,2021-2022,3A,IFMS
5,5,4,5,5,5,5,5,"i believe that cnsc should put a huge emphasis on their teachers' ability to educate and their expertise of the subject, because some teachers do not attend class or do not pay attention to their students. and being a student is extremely unfair to us because we are unable to show our abilities or even improve them. we at cnsc strive not only to get great grades and a tertiary education, but also to study and grow ourselves. stop investing in equipment and facilities. invest in the educators, as dr. clarita carlos suggested.train both teachers and students so that they are enthusiastic about teaching and learning.",1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,"i believe the cnsc is doing great job, all of the needs of the students had been given a way to answer. for me, just keep what you are doing my beloved cnsc. i am very satisfied with your services.",1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i can't say everything is good especially when it comes to teaching and various roles or services at cnsc college.,1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,5,i do not have any suggestions since the transactions and services in camarines norte state college are indeed commendable.,1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,i don't any comments because cnsc have a good service.,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i don't have any comment because i am so satisfied.,1st Semester,2021-2022,3A,IFMS
4,4,4,4,4,4,4,4,i don't have any comments because cnsc have a good service,1st Semester,2021-2022,3A,BS-Fisheries
4,5,4,5,4,4,4,4,i don't have any recommendations,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i don't have any suggestion/ recommendation.,1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,5,i don't have any suggestions.,1st Semester,2021-2022,3A,BS-Fisheries
5,5,4,5,5,5,5,5,i don't have commet because i am so satisfied with the service of cnsc.,1st Semester,2021-2022,3A,CCMS
4,4,4,4,4,4,4,4,"i don't really have a bad opinion of the service that the school offers. for those that i marked 3, i did so because i personally don't have experience of that specific service. my experience of these things is not complete and comprehensive enough to warrant any valid suggestion from my side. however, i think the current services are great enough.",1st Semester,2021-2022,3A,IFMS
4,4,4,4,4,4,4,4,"i don't really have a bad opinion of the service that the school offers. for those that i marked 3, i did so because i personally don't have experience of that specific service. my experience of these things is not complete and comprehensive enough to warrant any valid suggestion from my side. however, i think the current services are great enough.",1st Semester,2021-2022,3A,BS-Fisheries
4,5,4,4,4,5,5,4,"i don't really have a bad opinion of the service that the school offers. for those that i marked 3, i did so because i personally don't have experience of that specific service. my experience of these things is not complete and comprehensive enough to warrant any valid suggestion from my side. however, i think the current services are great enough.",1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i guess i have nothing more to say because cnsc is most i required school for those students who wants to learn more specially on their choosen academic fields for their better future and success,1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,5,"i haven't experience the services and facilities offered by the school. so far, i'm satisfied with what i have experienced.",1st Semester,2021-2022,3A,BS-Fisheries
4,4,5,4,4,4,4,4,i hope the school will hear the complains of student's regarding the professor's way of teaching.,1st Semester,2021-2022,3A,CCMS
4,4,4,4,4,4,4,4,i hope they continue to give students the best services even though we are in an online setting.,1st Semester,2021-2022,3A,IFMS
5,5,5,4,4,5,3,5,"i hope they continue to provide good services in all offices, maybe they can also make an active page that addresses the students concerns.",1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,i just hope cnsc maintain the clealiness of buildings and surroundings.,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i know there's a lot of adjustment going on and cnsc helping so much for cnscnians. they are doing their best to continue the legacy despite of pandemic. please continue helping.,1st Semester,2021-2022,3A,IFMS
4,4,4,4,4,4,4,4,i love cnsc,1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,"i suggest that workers should take the worl professionally, not that when they are mad at someonw they will take such merit to do something that is unjust",1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,"i think dapat mag-promote kayo ng mga activities na mage-strengthen ng mental health ng mga students yon also the online appointment, sana mas maging strict ang implementation non kasi yong ibang student naba-bypass nila.",1st Semester,2021-2022,3A,IFMS
4,4,4,4,4,4,4,4,i think itâ€™s good and i have no further comments nor suggestions.,1st Semester,2021-2022,3A,BS-Fisheries
4,3,4,3,3,3,3,3,i think just always entertain the needs of the students.,1st Semester,2021-2022,3A,CCMS
4,4,4,4,4,4,4,4,i update sa tamang oras ang mga student sa mga nangyayari sa school,1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,5,iagpatuloy ang mga palakad ng serbisyo ng bawat lider,1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,ianunsyo kung kailan pwede nang makakuha ng mga files ng estudyante tulad ng cog at reg form.,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,ibalik na ang f2f,1st Semester,2021-2022,3A,IFMS
5,5,4,4,4,5,5,5,ibig sabihin parang government is nagbibigay sila ng activity na kung san mas nadedevelop ang kakayahan ng isang studyante,1st Semester,2021-2022,3A,BS-Fisheries
4,4,4,4,4,4,4,4,ibigay ang scholarship sa nangangailangan at bilisan ang proseso.,1st Semester,2021-2022,3A,CCMS
3,3,3,3,3,3,3,3,"i'm fine with the services of our school however, i have concern with attitude of some registrar's personnel.",1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,5,i'm just a first year student here in cnsc but so far i am happy on what i am seeing and experiencingâ˜ºï¸,1st Semester,2021-2022,3A,BS-Fisheries
4,4,4,4,4,4,4,4,im satisfied,1st Semester,2021-2022,3A,CCMS
5,5,5,5,5,5,5,5,i'm satisfied on the service that gave by the institution.,1st Semester,2021-2022,3A,IFMS
5,5,4,5,5,5,4,4,i'm satisfied with their service. i just hope that they follow their given schedule at all times.,1st Semester,2021-2022,3A,BS-Fisheries
5,5,5,5,5,5,5,5,i'm satisfied. thank you,1st Semester,2021-2022,3A,CCMS
4,4,4,4,3,4,4,4,i'm satisfied. they should follow their given schedule at all times.,1st Semester,2021-2022,3A,IFMS
5,5,5,5,5,5,5,4,iminumungkahi ko na mas pag igtingin ang pag bigay anunsyo sa mga gawain at pang unawa na maaaring mawalan ng internet ang estyudante at magbigay palugit sa mga gawain,1st Semester,2021-2022,3A,BS-Fisheries
4,5,5,5,5,5,5,5,iminumungkahi ko na mas pag igtingin ang pag bigay anunsyo sa mga gawain at pang unawa na maaaring mawalan ng internet ang estyudante at magbigay palugit sa mga gawain,1st Semester,2021-2022,3A,CCMS
4,4,4,4,4,4,4,4,iminumungkahi ko na mas pag igtingin ang pag bigay anunsyo sa mga gawain at pang unawa na maaaring mawalan ng internet ang estyudante at magbigay palugit sa mga gawain,1st Semester,2021-2022,3A,IFMS
3,4,4,4,4,4,5,5,immediate response and direct answers to inquiries.,1st Semester,2021-2022,3A,BS-Fisheries
4,4,4,4,4,4,4,4,implement a greeter program since we are now in a new normal,2nd Semester,2021-2022,3B,CCMS
4,4,5,5,5,5,4,5,implement a greeter program since we are now in a new normal.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,improve all sattelite campuses,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,improve pa kung kaya po. pero maayos na po ang serbisyo ng aming campus,2nd Semester,2021-2022,3B,CCMS
4,4,4,4,4,4,4,4,improve social media updates,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,improve the external services and be considerate to the students,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,improve the lms,2nd Semester,2021-2022,3B,CCMS
4,4,4,4,4,4,4,4,improve the lms or use other platform like google form for easy access,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,improved services. â™¡,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,"in this time of pandemic allot more consideration but in a right way. however, all services are implemented so well so far.",2nd Semester,2021-2022,3B,CCMS
4,4,4,4,4,3,3,3,infrastructure,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,infrastructure improvement,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,ingatan lahat ng ito,2nd Semester,2021-2022,3B,CCMS
3,3,3,4,4,4,4,3,intindihin ang bawat sitwasyon ng mga estudyante.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,intindihin ang kalagayan ng estudyante. hindi lahat ay parehas ng pangangailangan at kakayanan.,2nd Semester,2021-2022,3B,BS-Fisheries
4,4,4,4,4,4,4,4,intindihin ang kalagayan ng estudyante. hindi lahat ay parehas ng pangangailangan at kakayanan.,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,intindihin ang kalagayan ng estudyante. hindi lahat ay parehas ng pangangailangan at kakayanan.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,4,5,5,5,"intindihin ang students dahil di lahat ng students ay may internet connection, marami din working students sa cnsc kilangan maintindihan ng mga professor na di madali mag aral ngayon dahil pandemic at di lahat at may internet connection at malakas ang signal. sana po matugunan ninyo ito at intindihin ang students please lng po. maraming salamat po.",2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,intindihin lagi kung ano ang problema ng mga student,2nd Semester,2021-2022,3B,CCMS
4,4,4,4,4,4,4,4,invest on a high-end and centralized information system for all of the cnsc stakeholders.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,ipaagpatuloy pa ang mga mabuting gawain at serbisyo,2nd Semester,2021-2022,3B,BS-Fisheries
4,5,5,5,5,5,5,5,ipaaunawang mabuti sa mag aaral ang magandang hangarin ng school,2nd Semester,2021-2022,3B,CCMS
4,4,5,4,4,4,4,4,ipag pa tuloy lamang ang kasalukoyang serbisyo,2nd Semester,2021-2022,3B,IFMS
4,4,4,4,4,4,4,4,ipag pa tuloy lamang ang kasalukoyang serbisyo,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,4,4,ipag pa tuloy lamang ang kasalukoyang serbisyo,2nd Semester,2021-2022,3B,CCMS
3,5,4,5,5,5,5,4,ipag pa tuloy pa ang magandang serbesyo nang paaralan sa mga estudyante,2nd Semester,2021-2022,3B,IFMS
4,5,5,5,4,4,4,5,ipag pagpatuloy ang magandang pamamalakad at koneksyon sa bawal membro ng institution,2nd Semester,2021-2022,3B,BS-Fisheries
4,4,4,4,4,4,4,4,ipag patuloy ang maayos at magandang pag pag papasunod para sa mga mag aaral.,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,ipag patuloy ang maayos at magandang pag pag papasunod para sa mga mag aaral.,2nd Semester,2021-2022,3B,IFMS
4,4,4,4,4,3,4,3,ipag patuloy ang maayos at magandang pag pag papasunod para sa mga mag aaral.,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,ipag patuloy ang magandang hangarin at serbisyo sa mga mag-aral,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,ipag patuloy ang magandang nasimulan at kung maaari ay mas lalong paunlarin ang kaninang serbisyo at lumukha pa ng ibang mga paraan upang maipaabot ng maayus ang inyong mga serbisyo sa lahat ng mag aaral.,2nd Semester,2021-2022,3B,IFMS
4,4,4,4,4,4,4,4,ipag patuloy ang magandang panimula sa mga patakaran.,2nd Semester,2021-2022,3B,BS-Fisheries
4,4,5,5,4,5,3,4,ipag patuloy ang magandang serbisyo.,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,ipag patuloy ang mga magagandang gawain upang lalong makatulong sa mga mag aaral,2nd Semester,2021-2022,3B,IFMS
5,5,4,5,5,5,5,5,ipag patuloy ang pag bibigay importansya sa bawat nais ipahayag ng mga mag aaral.,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,4,5,4,4,ipag patuloy at gawin ng maayos ang kanilang mga dikalidad na serbisyo para matugunan ang bawat pangangailangan ng mga mag aaral sa cnsc.,2nd Semester,2021-2022,3B,CCMS
4,4,4,3,5,4,5,4,ipag patuloy lamang ang magandang gawain at serbisyo.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,ipag patuloy lamang ang mga magagandang serbisyo,2nd Semester,2021-2022,3B,BS-Fisheries
5,5,5,5,5,5,5,5,ipag patuloy lamang ang pagiging responsable ng bawat isa sa paaralan.,2nd Semester,2021-2022,3B,CCMS
4,4,4,4,4,4,4,4,ipag patuloy lang ang maayos na mapapalakad at sana po ay mag karron ng mas maayos na pag tuturo at makapag face to face na upang mas matuto at bawas hirap sa bawat isa.,2nd Semester,2021-2022,3B,IFMS
5,5,5,5,5,5,5,5,ipag patuloy lang kung ano ang nasimulan bilang mag aaral ng cnsc ay ako ay sumusopporta kung ano man ang nais at susunod kong ano man ang mga nakalaan.,2nd Semester,2021-2022,3B,BS-Fisheries
4,4,4,4,4,4,4,4,ipag patuloy lang po,2nd Semester,2021-2022,3B,CCMS
5,5,5,5,5,5,5,5,ipag patuloy lang po,2nd Semester,2021-2022,3B,IFMS
4,4,4,4,4,4,4,4,ipag patuloy lang po,2nd Semester,2021-2022,3B,BS-Fisheries
5,4,4,4,4,4,5,5,ipag patuloy lang po ninyo ang magandang serbisyoðÿ˜š,2nd Semester,2021-2022,3B,CCMS
